,headline,word_count,char_count,avg_word_length,all_capitalized_word_count,punctuation_count,exclamation_count,question_mark_count,readability_score,smog_index,quotation_count,vocab_variety,sensational_words_count,absolute_words_count,factuality_words_count,subjectivity_score,objective_score,count_numerics,sentiment,label
0,Did that really happen? Barbados v Grenada and a deliberate own goal,12,68,4.75,0,1,0,1,48.47,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
1,Breakdancing Will Not Be Busting A Move In 2028 Olympics,10,56,4.7,1,0,0,0,86.71,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,True
2,Breaking Will Not Be in The 2028 Los Angeles Olympics—What’s Next?,11,66,5.090909090909091,0,1,0,1,77.23,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,True
3,Braves Superstar Sets Atlanta-Era Record in 1st Inning,8,54,5.875,0,1,0,0,71.82,0.0,0,1.0,0,0,0,0.0,0.0,1,positive,True
4,Only 20 schools in the Football Bowl Subdivision have athletic departments with revenue exceeding expenses,15,106,6.133333333333334,0,0,0,0,30.87,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,True
5,LATEST: Mitchell Stadium named America’s Best High School Football Stadium,10,74,6.5,1,1,0,0,35.95,0.0,0,0.9,0,0,0,0.0,0.0,0,neutral,True
6,"Homes of Patrick Mahomes, Travis Kelce burglarized last month",9,61,5.888888888888889,0,1,0,0,87.72,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
7,"Gregg Popovich recovering from mild stroke, no timeline for return set",11,70,5.454545454545454,0,1,0,0,68.77,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
8,"Patrick Queen: I wasn’t wanted back with Ravens, it was definitely kind of upsetting",14,84,5.071428571428571,1,2,0,0,65.73,0.0,0,1.0,0,1,1,0.0,0.0,0,negative,True
9,Odell Beckham Jr. boasts about taking 2021 Rams salary in Bitcoin National Football League Odell Beckham Jr. boasts about taking 2021 Rams salary in Bitcoin,25,156,5.28,0,2,0,0,79.97,6.4,0,0.56,0,0,0,0.0,0.0,2,neutral,True
10,Ecuador international soccer player Marco Angulo dies aged 22 following car crash,12,81,5.833333333333333,0,0,0,0,33.92,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,True
11,Shohei Ohtani Baseball Worth $4 Million Lands in Globally-Recognized Skyscraper,10,79,7.0,0,2,0,0,52.87,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,True
12,Kobe Bryant is the only person to have won both an Olympic medal and an Oscar,16,77,3.875,0,0,0,0,89.08,0.0,0,0.9375,0,0,0,0.0,0.0,0,neutral,True
13,Bucks fan predicted Milwaukee-Phoenix NBA Finals all the way back in 2016,12,73,5.166666666666667,1,1,0,0,67.76,0.0,0,1.0,0,1,0,0.0,0.0,1,neutral,True
14,Chiefs kicker Butker congratulates women graduates and says most are more excited about motherhood,14,98,6.071428571428571,0,0,0,0,31.89,0.0,0,1.0,0,0,0,0.0,0.0,0,positive,True
15,"Kansas City Chiefs player faces backlash for graduation speech criticizing working women, calling Pride a ""deadly sin""",17,118,6.0,0,3,0,0,37.3,0.0,1,1.0,0,0,0,0.0,0.0,0,negative,True
16,"BREAKING: Fox Sports Cancels ALL NFL Broadcasts ""Until Players Respect The Flag""",12,80,5.75,3,3,0,0,67.76,0.0,1,1.0,0,1,0,0.0,0.0,0,negative,False
17,"Rugby Safer Than American Football ""For Health Reasons"": Biden",9,62,6.0,0,3,0,0,62.34,0.0,1,1.0,0,0,0,0.0,0.0,0,neutral,False
18,First woman to medal in six straight Olympics. Media and sponsors ignore her because she is outspoken pro-2A.,18,109,5.111111111111111,0,3,0,0,79.26,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,False
19,Novak Djokovic becomes the first professional athlete in history to be banned from a major sporting competition for not taking drugs,21,132,5.333333333333333,0,0,0,0,41.7,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,False
20,"BREAKING: ESPN has fired Shannon Sharpe, per @ESPNNBA",8,53,5.75,3,3,0,0,63.36,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,False
21,"The Minnesota Vikings have denounced Tim Walz: ""We don’t suppᴏrt his values.""",12,77,5.5,0,4,0,0,76.22,0.0,1,1.0,0,0,0,0.0,0.0,0,neutral,False
22,"'BREAKING: WNBA referees disqualify two players under league’s new ""no anthem kneeling"" rule",13,92,6.153846153846154,2,4,0,0,41.36,0.0,1,1.0,0,0,0,0.0,0.0,0,neutral,False
23,"Nike announces termination of contract with Brittney Griner after ""strong backlash"" from online community: ""We need more athletes like Riley Gaines and less woke Brittney Griner!""",26,179,5.923076923076923,0,6,1,0,45.09,0.0,2,0.9615384615384616,0,0,0,0.0,0.0,0,negative,False
24,"KNEELING: After the University of Texas, all students who knelt during the national anthem were rounded up and REMOVED FROM SCHOLARSHIPS",21,136,5.523809523809524,4,2,0,0,41.7,0.0,0,0.9523809523809523,0,1,0,0.0,0.0,0,neutral,False
25,Travis Kelce kneels during national anthem fined $10 million and thrown out of the game.,15,88,4.933333333333334,0,2,0,0,81.63,0.0,0,1.0,0,0,0,0.0,0.0,1,neutral,False
26,The NFL will now use facial recognition at every stadium to verify the identity of everyone at the game.,19,104,4.526315789473684,1,1,0,0,52.19,0.0,0,0.8947368421052632,0,1,0,0.0,0.0,0,neutral,False
27,Mike Tyson says he’s willing to box Olympic DUDE with all proceeds to go to a battered women’s charity.,19,103,4.473684210526316,1,1,0,0,77.57,0.0,0,0.8947368421052632,0,1,0,0.0,0.0,0,neutral,False
28,"After winning silver, Yusef stood emotionless on the Olympic podium and declared, ""Sharon, if you’re watching this, I want my dog back.""",22,136,5.2272727272727275,1,7,0,0,66.07,0.0,1,1.0,0,0,0,0.0,0.0,0,neutral,False
29,Miami Dolphins QB Tua Tagovailoa will be sitting front row tonight in Doral for the Trump speech,17,96,4.705882352941177,1,0,0,0,71.14,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,False
30,BREAKING: The WNBA organizers have officially announced an investigation into the referees in all of Caitlin Clark's games for ignoring all dirty actions by her opponents against her,28,182,5.535714285714286,2,2,0,0,26.14,0.0,0,0.9285714285714286,0,2,0,0.0,0.0,0,neutral,False
31,"Chiefs' Coach Andy Reid ""fires 3 top players for anthem kneeling.""",11,66,5.090909090909091,0,4,0,0,85.69,0.0,1,1.0,0,0,0,0.0,0.0,1,neutral,False
32,"BREAKING: Caitlin Clark Rejects $400 Million Deal From Nike, ""Not With That Kaepernick Clown,""",14,94,5.785714285714286,1,6,0,0,82.65,0.0,1,1.0,0,0,0,0.0,0.0,1,neutral,False
33,"At Euro 2020, UEFA (European Football Association) ordered all team captains to wear ""OneLove"" bands. The band was used as a symbol of LGBTQ. But, Portugal captain Cristiano Ronaldo was the only European captain who did not wear the band.",40,238,4.975,2,9,0,0,66.44,9.7,1,0.9,0,1,0,0.0,0.0,1,neutral,False
34,Golden State Warriors refuse to visit White House after winning NBA title: reports,13,82,5.384615384615385,1,1,0,0,66.74,0.0,0,1.0,0,0,0,0.0,0.0,0,negative,False
35,Taylor Swift faces a 10-game NFL ban following controversial political involvement - fans in uproar!,15,100,5.733333333333333,1,3,1,0,31.89,0.0,0,1.0,0,0,0,0.0,0.0,1,negative,False
