feed_title,entry_title,entry_link,entry_published_date,entry_summary,entry_content
FOX Sports Digital,Bears mulling over whether to fire offensive coordinator Shane Waldron,https://www.foxsports.com/stories/nfl/bears-mulling-over-whether-fire-offensive-coordinator-shane-waldron,"Mon, 11 Nov 2024 17:59:13 -0500","The Bears are mulling whether to fire offensive coordinator Shane Waldron in the wake, coach Matt Eberflus said Monday.",No content found
FOX Sports Digital,"Giants will 'evaluate' Daniel Jones, QB situation during bye week",https://www.foxsports.com/stories/nfl/giants-will-evaluate-daniel-jones-qb-situation-during-bye-week,"Mon, 11 Nov 2024 16:46:29 -0500","The Giants plan to make improvements during their bye week, but will the looming quarterback situation be one of those areas?",No content found
FOX Sports Digital,How confident should people be in the Chiefs? | First Things First,https://www.foxsports.com/watch/fmc-wgoz5yzdpi6epvl8,"Mon, 11 Nov 2024 21:32:52 +0000",The Kansas City Chiefs remain undefeated after blocking a last-second field goal by the Denver Broncos. Nick Wright discusses the recent victory and how it instilled confidence in the Chiefs.,No content found
FOX Sports Digital,Is Caleb Williams' struggles due to a lack of support from the Bears? | The Herd,https://www.foxsports.com/watch/fmc-wwleedz7ia27j162,"Mon, 11 Nov 2024 21:19:12 +0000",Albert Breer joins Colin Cowherd to discuss whether Caleb Williams lacks support in his tumultuous rookie season so far.,No content found
FOX Sports Digital,Matt Hasselbeck on Russell Wilson improving to 3-0 as Steelers starter | The Herd,https://www.foxsports.com/watch/fmc-hf0501af4ap4kkm3,"Mon, 11 Nov 2024 21:03:20 +0000",Matt Hasselbeck joins The Herd to discuss Russell Wilson's performance in Pittsburgh Steelers win 28-27 win against the Washington Commanders 28-27.,No content found
FOX Sports Digital,The surprising rise of Jayden Daniels shouldn't have been a surprise at all,https://www.foxsports.com/stories/nfl/jayden-daniels-rise-shouldnt-have-been-surprise-all,"Mon, 11 Nov 2024 14:08:58 -0500","To hear Kliff Kingsbury tell it, Jayden Daniels struggles with the ""trash can drill."" But that's about the only thing the Commanders standout hasn't excelled at in his rookie season.",No content found
FOX Sports Digital,Most receiving yards in a single NFL game,https://www.foxsports.com/stories/nfl/most-receiving-yards-single-nfl-game,"Mon, 11 Nov 2024 14:04:25 -0500",Check out this article for a complete list of NFL single-game receiving yard leaders.,No content found
FOX Sports Digital,Most wins in NFL history: Teams with the best all-time regular season records,https://www.foxsports.com/stories/nfl/most-wins-nfl-regular-season,"Mon, 11 Nov 2024 14:02:13 -0500","Check out this article for a complete list of teams who have the most total wins in the NFL regular season, both by winning percentage and number of games.",No content found
FOX Sports Digital,Most NFL Playoff Wins: List of teams with the best all-time records,https://www.foxsports.com/stories/nfl/most-playoff-wins-nfl,"Mon, 11 Nov 2024 13:52:22 -0500","Check out this article for a complete list of teams who have the most total wins in the NFL playoffs, both by winning percentage and number of games.",No content found
FOX Sports Digital,NFL All-Time Rushing Leaders: Who has the most rushing yards in history?,https://www.foxsports.com/stories/nfl/who-has-most-rushing-yards-nfl-history,"Mon, 11 Nov 2024 13:40:48 -0500",Discover the NFL's all-time rushing leaders and see who holds the record for the most rushing yards in history including the current active leader.,No content found
