Number,Credibility,Headline,Claim,Link,Source
1,FALSE,Fox Sports Cancels ALL NFL Broadcasts 'Until Players Respect the Flag',Fox Sports announced that they would no longer broadcast NFL games until teams and players apologized to President Trump for kneeling during the national anthem.,https://www.snopes.com/fact-check/fox-sports-cancels-nfl-broadcasts-players-respect-flag/ ,Snopes – fake news story published on TheLastLineofDefense web site.
2,FALSE,Police Officer Who Pulled Over Tyreek Hill Had 'Bills Mafia' as His LinkedIn Background,A police officer involved in stopping and detaining NFL player Tyreek Hill had a Buffalo Bills background on his LinkedIn profile.,https://www.snopes.com/fact-check/miami-dade-police-tyreek-hill/ ,Snopes – manipulated screenshot that was spread on social media
3,FALSE,Did Tom Brady Say the NBA Finals Were Rigged,"Tom Brady said that the NBA finals were rigged, and that the referees were taking bribes.",https://www.snopes.com/fact-check/tom-brady-say-nba-finals-rigged/ ,Snopes – from manipulated Facebook post
4,Mostly False,“Fewer people get hurt playing rugby” than American football.,Joe Biden says rugby is safer than football.,https://www.politifact.com/factchecks/2023/apr/14/joe-biden/fact-checking-joe-biden-whether-rugby-more-dangero/ ,Politifact – quote from Joe Biden in a speech to Irish parliament in April 2023
5,FALSE,"News organizations and sponsors ignored the accomplishments of Kim Rhode, a six-time Olympic medalist, because of her support of the Second Amendment.",,https://www.politifact.com/factchecks/2021/jul/09/facebook-posts/news-outlets-didnt-ignore-six-time-olympic-medalis/ ,Politifact – originated from a Facebook post
6,FALSE,Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,,https://www.politifact.com/factchecks/2022/jan/20/tweets/no-djokovic-isnt-first-athlete-be-banned-sporting-/ ,Politifact – originated from a Tweet
7,FALSE,“ESPN has fired Shannon Sharpe.”,,https://www.politifact.com/factchecks/2024/sep/13/facebook-posts/no-espn-has-not-fired-shannon-sharpe-for-x-rated-l/ ,Politifact – originated from Facebook post
8,Pants on Fire! (False),The Minnesota Vikings have denounced Tim Walz: “We don’t supp?rt his values.”,,https://www.politifact.com/factchecks/2024/sep/12/facebook-posts/touchdown-false-the-minnesota-vikings-didnt-denoun/ ,Politifact – originated from Facebook post
9,FALSE,“Breaking: WNBA referees disqualify players under league’s new ‘no anthem kneeling’ rule.”,,https://www.politifact.com/factchecks/2024/aug/28/viral-image/air-ball-wnba-players-werent-disqualified-under-a/ ,Politifact – originated from viral image
10,FALSE,“Nike announces termination of contract with Brittney Griner after ‘strong backlash’ from online community.”,,https://www.politifact.com/factchecks/2024/aug/27/facebook-posts/no-nike-didnt-announce-its-ending-its-partnership/ ,Politifact – originated from Facebook post
11,FALSE,“All students who knelt during the national anthem were rounded up and removed from scholarships” at the University of Texas.,,https://www.politifact.com/factchecks/2024/aug/26/facebook-posts/no-university-of-texas-didnt-pull-scholarships-fro/ ,Politifact – originated from Facebook post
12,FALSE,“Travis Kelce kneels during national anthem fined $10 million and thrown out of the game.”,,https://www.politifact.com/factchecks/2024/aug/21/viral-image/kansas-city-chiefs-tight-end-travis-kelce-wasnt-fi/ ,Politifact – originated from viral image
13,FALSE,“The NFL will now use facial recognition at every stadium to verify the identity of everyone at the game.”,,https://www.politifact.com/factchecks/2024/aug/16/instagram-posts/nfl-to-use-facial-authentication-technology-for-cr/ ,Politifact – originated from Instagram post
14,FALSE,“Mike Tyson says he’s willing to box Olympic DUDE with all proceeds to go to a battered women’s charity.”,,https://www.politifact.com/factchecks/2024/aug/09/threads-posts/mike-tyson-didnt-say-hed-box-algerian-imane-khelif/ ,Politifact – originated from Threads post
15,FALSE,"Olympic air pistol shooting medalist took up the sport during his divorce and told his ex-wife from the podium, “I want my dog back.”",,https://www.politifact.com/factchecks/2024/aug/05/instagram-posts/olympic-shooting-stars-origin-story-about-messy-di/ ,Politifact – originated from Instagram post
16,FALSE,"""Miami Dolphins QB Tua Tagovailoa” had a “front-row seat” reserved at Donald Trump’s Miami rally.",,https://www.politifact.com/factchecks/2024/jul/10/tiktok-posts/a-front-row-seat-for-dolphins-quarterback-at-trump/ ,Politifact – originated from TikTok post
17,FALSE,“WNBA organizers have officially announced an investigation into the referees in all of Caitlin Clark's games for ignoring all dirty actions by her opponents against her.”,,https://www.politifact.com/factchecks/2024/jul/03/facebook-posts/referees-officiating-wnba-rookie-caitlin-clarks-ga/ ,Politifact – originated from Facebook post
18,FALSE,"Chiefs' Coach Andy Reid ""fires 3 top players for anthem kneeling.""",,https://www.politifact.com/factchecks/2024/jul/01/facebook-posts/kansas-city-chiefs-coach-andy-reid-didnt-boot-his/ ,Politifact – originated from Facebook post
19,FALSE,“Caitlin Clark rejects $400 million deal from Nike” saying “not with that Kaepernick clown.’”,,https://www.politifact.com/factchecks/2024/jun/24/facebook-posts/no-caitlin-clark-did-not-turn-down-millions-of-dol/ ,Politifact – originated from Facebook post
20,FALSE,Cristiano Ronaldo was the only European soccer captain who did not wear a rainbow armband at Euro 2020.,,https://www.politifact.com/factchecks/2024/jun/21/facebook-posts/claim-about-cristiano-ronaldo-and-rainbow-armbands/ ,Politifact – originated from Facebook post
21,FALSE,,The Golden State Warriors basketball team announced on 13 June 2017 that they had unanimously voted to skip a visit to the White House after winning the NBA Championship. ,"https://www.snopes.com/fact-check/warriors-white-house-visit/ 

actual news articles with the claim:: https://www.rawstory.com/2017/06/golden-state-warriors-refuse-to-visit-white-house-after-winning-nba-title/ 

https://www.vibe.com/news/sports/nba-warriors-pass-white-house-invite-518234/ 

https://uproxx.com/dimemag/nba-finals-champion-warriors-skipping-white-house-visit-donald-trump/ ","Rumor picked up by many news sources from NBC , Uproxx, and Vibe to Raw Story, these reports were based on a tweet from CNBC finance reporter Josh Brown"
22,TRUE,Soccer Team Scores on Itself to Win Cup Match,A soccer team advanced in a cup match by deliberately scoring a goal against their own side.,https://www.snopes.com/fact-check/football-follies/ ,Snopes – derived from email and book from 2000 
23,TRUE,Breakdancing Won't Be Part of 2028 Los Angeles Olympics,Breakdancing won't be included as an event at the 2028 Los Angeles summer Olympic Games.,https://www.snopes.com/fact-check/breakdancing-2028-olympics/ ,Snopes
24,TRUE,"""Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.""",,https://www.politifact.com/factchecks/2015/mar/07/steven-frias/ri-gop-official-steven-frias-says-research-finds-n/ ,Politifact – from newspaper commentary written by Rhode Island GOP official
25,TRUE,"The Atlanta Braves are ""the oldest continuously operating professional sports franchise in America.""",,https://www.politifact.com/factchecks/2010/dec/14/atlanta-braves/braves-go-back-back-back/ ,Politifact – stated on team’s website
26,TRUE,"Only 20 colleges and universities ""have athletic departments with revenue exceeding expenses.""",Jim Moran says only 20 colleges make a profit from sports.,https://www.politifact.com/factchecks/2014/dec/22/jim-moran/moran-says-only-20-colleges-make-profit-sports/ ,Politifact – originated from a Facebook post
